ID,review,label,,
1,Jo bhi ap se tou behtar hoon,2,,
2,ya Allah meri sister Affia ki madad farma,1,,
3,Yeh khud chahta a is umar main shadi krna.  had ogi,2,,
4,Tc ? Apky mun xe exe alfax achy nae lgty 😒💃,2,,
5,Good,1,,
6,American president John f Kennedy aur in ke bhai Robert Kennedy se bhi Marilyn Monroe ke affairs ka charcha raha,2,,
7," Commission aur kickback ka dor Dora raha, quomi assase koriyon ke mol farokhat keye gaye",2,,
8,Allah pak nazer e bd sy bechye or humesha bohat tarkian dy Ameeen,1,,
9,"Amoman log samajhte hain ke jhok siyal hi Abid Ali ki pheli serial thi halan ke sach ye hai ke unhon ne sab se phele Saleem Chishtti le likhe howe kheel ""zanjeer"" mein adakari ki",1,,
10,Akki KhanYani k tum ....... v good Wesy tum shkll sy bhi khesiani billi kgti ho,2,,
11,Jail Road Pr Firing Se 1 Shaks Janbahaq Rpt M Ali Jokhio,2,,
12,hud hagai stupid actor hy.....acting ati he nahi isay.......@maham... kiya dakh liya app nay is mein..@sayra.... shaadi kr loo yar...,2,,
13,Haha thank you so much ,1,,
14,Pakistani cricket ki tareekh ka behtreen batsman all time grades mein kia numaya muqam ka hasiil aur Pakistan cricket ko kia naya chehra dene wale javed Miandad 12June 1957 ko  karachi mein paida huwe,1,,
15,Nawaz Sharif ko Pakro Harimi Police walo Tum logon ki Again Maa Me Land Marey Ye ADNAN,2,,
16,Kash MERI MAAN ZINDA HOTI...........,1,,
17,5 Billion Dollor se zaid akhrajat ka takhmina lagaya hai,2,,
18,Kisi larki kay sat selfie lana tum hay maut ki yad dilata hay ,2,,
19,NAMAZ E ZUHAR Hamari Aamdani Mein Izafa Karti Hein ,1,,
20,Wasy ma sporting lahore ki team ko kr raha tha lakin #Admin sb kisi py Lanat ni krni Cahiya.... ,2,,
21,Duoan main yad rakhay ga,1,,
22,Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein,1,,
23,Dar asal in k parents bhi nachney ganey waley he hongay warna shareef log apni izat ka tamasha nah lagatey,2,,
24,Mujhay tou dusri dafa sacha pyaar ho gaya hai,1,,
25,aur mein nai 😂,2,,
26,Hazrat Sahab Dua ke darkast ha.,1,,
27,"In ke jaise shohar bano, in ke jaise sabiq shohar bano, in ke jaise bhai bano aur in ke jaise bete bano.",1,,
28," Hamare intellectual ise aik sub standard mawad gardantey hai, lekin un mein se koi bhi Ibn-e-Safi ke takhleeqi zehan ka muqabla nahi kar sakta",1,,
29,Tab aik sadabahar geet ne janam liya,1,,
30,"Aye Logo, Apni Aurto KoSingarwala Libas Pahenkar Gair Mahramo Ke Samne Nikalne Se Mana Karo.",2,,
31,"Kya bt hai,",1,,
32,Wo ashaar ke ilawa lafzon aur jumlon ko bhi is qadar pur kashish bana dete hain ke audience mashoor hue jate hain,1,,
33,Hahahah,1,,
34,Aa na zara!! Judge karte he kuch logo ko 😂,2,,
35,Jab Last Smester Main Arrays Parhae Thyn. Sir Told Us To Write Down These Golden Lines... :D,1,,
36,"Aap ko sakht sadma howa aur kai roz tak aap dil girifta rahe.apni waldah ki wafat ke hawale se Iqbal ne maha 
raja Parshad ko tehrir kiya:

鄭h! Isnan apni kazori ko chupane mein kis qadar taq hai. ",1,,
37,Bht acha hai,1,,
